Phenotype	STAT3	SMAD23	STAT6	SOCS1	TLR4	NFKB	STAT1	SOCS3	AP1	IL10	TNFA	IL4e	TGFB	IL10e	TNFAe	TGFBe	IgG	A2a	IFNG	IFNB	IL1B	Fra1	IL6e	MCSF	GMCSF	Hipoxia	HIF1A	ERK	GCGCR
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	1	0	0	1	1	1	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	1	0	0	1	1	0	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	0	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	1	0	0	1	1	1	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	0	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	1	1	1	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	0	1	0	0	1	1	1	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1
M2aM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0	1	0	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	1	1	1	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1
M2aM2cM2d	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1
M2aM2d	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	1
M2cM2d	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	1	0	1	1	0	1
M1M2d	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	1	1	0	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1
M2aM2bM2d	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	1
M2aM2bM2d	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	1	1	1	1
M2bM2d	0	1	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	0	1	1	1	1
M2bM2d	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	1
